,r,p-value
poultry_level,-0.46136847633446676,0.0009650340258917385
blender_level,-0.39245835643481375,0.005797709174559381
gravy_level,-0.32480846304500627,0.02429199432002811
kid-friendly_level,-0.32306726084696635,0.025109727136232458
meat_level,-0.31151881400201414,0.0311365341060746
feta_level,-0.3007873775551118,0.03776823805448136
soups-stews_level,-0.30009736932491643,0.03823161649799147
ham_level,-0.28947194598708964,0.045976672208825925
