,item_name,item_EnsTP_score
264,tidbit,0.166894
265,pot-roast,0.163027
266,pitted-fruit,0.16011
267,phyllo,0.158501
268,pretzel,0.155914
269,peanut-butter,0.14867
270,chickpeas,0.136766
271,indian,0.135839
272,vinaigrette,0.135681
273,amaretto,0.130089
274,eel,0.127697
275,florentine,0.12425
276,grapefruit,0.115052
277,german,0.100998
278,sunflower,0.091915
279,quiche,0.083068
280,macaroon,0.082117
281,bisques-cream-soups,0.079897
282,hard-boiled,0.073099
283,beans,0.0722
284,lemongrass,0.064495
285,macadamia,0.062136
286,australian,0.050763
287,granola,0.045518
207,raw-fish,0.009461
